relation,x_type,y_type,x_id,y_id,uid,x_preferred_name,y_preferred_name,x_preferred_name_score,y_preferred_name_score
bioprocess_protein,biological_process,gene/protein,kg4rd:10468,kg4rd:9365,:39889824:Vcd9N4B8RHXLsvbNkEFCnt,regulation of gene expression,kl,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:16567,kg4rd:58529,:39865125:3Pkh3jbtktihyka4a8a98z,protein ubiquitination,myoz1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:25464,:39806512:KYgvPQ5NjGeJpFWCshq2kn,duchenne muscular dystrophy,increased reactive oxygen species production,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:4322,:39792921:mYo3Juk69pDcwiXtEjPD4H,duchenne muscular dystrophy,short stature,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:708,:39792584:MVBp9JQ7DvHaAXdH4i3HrF,duchenne muscular dystrophy,atypical behavior,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:739,:39719374:4MSSeN5cnEamZQenv9jJZ5,qualitative or quantitative defects of dystrophin,anxiety,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3077,:39716324:RfkyBdtD9MS8pxnhUHMn6H,duchenne muscular dystrophy,hyperlipidemia,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7476,:39702274:n6UTkR8UhXr4Y4YbR4Jfjy,duchenne muscular dystrophy,wnt7a,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1510,:39669499:5bhD4KB8URT3D69ZJ3rkRy,duchenne muscular dystrophy,growth delay,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:100512,:39669499:fu4ci8oxKM2LaiTkGXiuGW,duchenne muscular dystrophy,decreased circulating vitamin d concentration,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2659,:39648958:7Z8ZdSakG5Eehi4shmeeuR,duchenne muscular dystrophy,increased susceptibility to fractures,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2540,:39630734:FyrbtC7xNZwwSgdRCumb6k,duchenne muscular dystrophy,inability to walk,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:3812,:39621041:4kueP7cyYR3oB466eKceL2,becker muscular dystrophy,phenotypic variability,1000.0,1000.0
phenotype_protein,effect/phenotype,gene/protein,kg4rd:3202,kg4rd:1756,:39595988:ZaYrLNrJ5E3EXNoVWxbzYT,muscular atrophy,dmd,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10311,kg4rd:16147,:39561886:VAhyfJ4KeusPWRR7iLxnib,becker muscular dystrophy,qualitative or quantitative defects of dystrophin,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:16147,:39561886:WpUVHqCoo8Mc4XpJT3xL8M,duchenne muscular dystrophy,qualitative or quantitative defects of dystrophin,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:5045,:39534979:DeexuY93gN7eoNLQVocXHf,duchenne muscular dystrophy,hypertrophic cardiomyopathy,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:7147,:39531786:f5T76BgQYqqxWytAikb6sk,duchenne muscular dystrophy,obstructive sleep apnea syndrome,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2877,:39531786:e7pAxCrMQuwWAvEopD6dnN,duchenne muscular dystrophy,nocturnal hypoventilation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:3201,:39503119:QHj4FkgQwcStUiWoMFZBqh,muscular dystrophy,rhabdomyolysis,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:3201,kg4rd:1663,:39503119:cjgqV7jHFv4VkRQskmgKeS,rhabdomyolysis,ventricular fibrillation,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:3201,kg4rd:1695,:39503119:5jnAUGDnBRzV4PpWdEo4MA,rhabdomyolysis,cardiac arrest,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:2153,kg4rd:1663,:39503119:hLhoo2A22WUVnkhPAeJo9z,hyperkalemia,ventricular fibrillation,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:2153,kg4rd:1695,:39503119:2DHwpLhG3EeEWnxf8wN4YX,hyperkalemia,cardiac arrest,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:14895,kg4rd:1756,:39499670:8KDLmfVv6kKAHmPRczBT82,"somatic muscle, invertebrate",dmd,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:2505,:39499670:nGeKckQ5mPw5XbYiGuzj4b,becker muscular dystrophy,loss of ambulation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:5162,:39499670:3WYW8ycEBVgYCoujRqhSHQ,becker muscular dystrophy,abnormal left ventricular function,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:6774,:39477543:WW66Qpm4Uj2GkHBg3dTrNc,duchenne muscular dystrophy,stat3,1000.0,1000.0
anatomy_protein_absent,anatomy,gene/protein,kg4rd:14895,kg4rd:1756,:39415418:C2JqUKD4onYRG7sYkP4Z8D,"somatic muscle, invertebrate",dmd,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:3479,:39390091:CRjpxpvYZiyBvMXveSCjpn,duchenne muscular dystrophy,igf1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7135,:39390091:4V5xYukBARmur7weWyaB9S,duchenne muscular dystrophy,tnni1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:4654,:39390091:DjJexaoWz8xWhuut66u2Aa,duchenne muscular dystrophy,myod1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2015,:39362116:8UePaQSwb4s6k6Svat3sPX,duchenne muscular dystrophy,dysphagia,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:12532,:39317091:jScF39RqKVm6JuxwPX99Wk,duchenne muscular dystrophy,chronic pain,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:969,:39298449:mRjhTR5V3bURRxi7kRXo9C,duchenne muscular dystrophy,edema,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:7037,kg4rd:2652,:39283673:h2gut4zepqcuCWugZNY3Ki,achondroplasia,skeletal dysplasia,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:7037,kg4rd:4322,:39283673:Eeajg5QaWiKK8kSS45rL57,achondroplasia,short stature,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10311,kg4rd:4060,:39192489:cDJbhXDzjaDNexGWRYEnAD,becker muscular dystrophy,lum,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10311,kg4rd:1634,:39192489:VesaqH2wnMiStskaGEw75H,becker muscular dystrophy,dcn,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10311,kg4rd:1277,:39192489:fiRjiUruT8njkCUma9nAUq,becker muscular dystrophy,col1a1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1462,:39159389:Fue6txyXuHpcma4D5EqPbM,duchenne muscular dystrophy,vcan,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:3146,:39158383:3r43d7HeBF6USQ6FWQcx4z,duchenne muscular dystrophy,hmgb1,1000.0,1000.0
anatomy_protein_absent,anatomy,gene/protein,kg4rd:5090,kg4rd:1756,:39151676:egPqqybv9FQQkQvJHgBSwx,muscle structure,dmd,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:20121,kg4rd:83667,:39117956:FHd6rdeDGd9HQZ6VSNPQpb,muscular dystrophy,sesn2,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1635,:39023735:26CdMXFFssG6RZvxjvrhay,duchenne muscular dystrophy,congestive heart failure,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:16147,kg4rd:1756,:39014877:6givg6FUnhvdQpwNYCHAtk,qualitative or quantitative defects of dystrophin,dmd,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1513,:39014877:byujgFXbT3JXpMLi3MgYYN,duchenne muscular dystrophy,ctsk,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:4621,:39014877:YmzPqpccrWWEoUmvPp29Lu,duchenne muscular dystrophy,myh3,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:4395,:38999890:PdrXzciL4T3EUwGk6WzNzE,duchenne muscular dystrophy,malnutrition,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:1635,:38997055:9CEcNjBK3NSJaGhLveTh7A,becker muscular dystrophy,heart failure,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:5090,kg4rd:1756,:38965715:Cb8zTvrZrMJN48hGuYYzbM,muscle structure,dmd,1000.0,1000.0
phenotype_protein,effect/phenotype,gene/protein,kg4rd:10766,kg4rd:6374,:38924558:ZusXzwCPG8cveph3LBoBdj,ectopic calcification,cxcl5,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:823,:38915199:AcyUH6faNXPBKKtRj3WLk3,duchenne muscular dystrophy,delayed puberty,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:3162,:38867250:fLTFxY7nCYg24UgDTQor6J,duchenne muscular dystrophy,hmox1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3546,:38847487:7czb8iN9MuS7ot4r6LSqGP,duchenne muscular dystrophy,exercise intolerance,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:12,:38822858:dYUSJkCNKEdw6YzLsbvYyk,duchenne muscular dystrophy,urinary urgency,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:805,:38822858:ii5aPGEYc2ox9MrX3xRV77,duchenne muscular dystrophy,enuresis,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:9113,:38729626:eKDk8BchrrKg3rwUMePcDC,duchenne muscular dystrophy,diaphragmatic weakness,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:739,:38701157:cSA8RE7GzkRAv28aDGZuMN,duchenne muscular dystrophy,anxiety,1000.0,1000.0
disease_disease,disease,disease,kg4rd:16147,kg4rd:5027,:38693632:ifTeudn8oYfKDaCNGbCd8h,qualitative or quantitative defects of dystrophin,epilepsy,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:32502,kg4rd:24145,:38671506:AQ24VVZTiQpvSjd4jgDYkj,developmental process,panx1,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:31099,kg4rd:24145,:38671506:dXrnH4RACoBp3WmuunpXUG,regeneration,panx1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:24145,:38671506:Moc6LL9dgJJZtheoAMgcgx,duchenne muscular dystrophy,panx1,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:9113,kg4rd:2791,:38658324:cMgmaU9AZiiems9gpWxstX,diaphragmatic weakness,hypoventilation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2859,:38646787:K3cqFbT7iT6mebo6sSJ2hd,duchenne muscular dystrophy,rhabdomyosarcoma,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1649,:38637619:SM64sUhQ9x3YqBxjBVAAnr,duchenne muscular dystrophy,tachycardia,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:4308,:38637619:RJzH9MASYRLBbmhPcfpx3Z,duchenne muscular dystrophy,ventricular arrhythmia,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:5249,:38630313:64DymYQVwKxWvMtC6SF8EY,duchenne muscular dystrophy,pneumonia,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:9047,kg4rd:347527,:38621993:CYGHsMYLNjTqB5Pq4vo2qv,cryptorchidism,arsh,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:9047,kg4rd:4103,:38621993:nLbecxwPzv76p2NxrVUP5S,cryptorchidism,magea4,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:9047,kg4rd:357,:38621993:iwJcqJAYXKgf3p6WBzayvi,cryptorchidism,shroom2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:9047,kg4rd:8287,:38621993:gc5r25UUF6bCCrNhQo84bC,cryptorchidism,usp9y,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:9047,kg4rd:63035,:38621993:6ZuKV8ovA6gd6Woj2kUbyc,cryptorchidism,bcorl1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10651,kg4rd:3713,:38507466:DWW3aGK2VzJeeqD8TQh4AU,menkes disease,muscle fiber necrosis,1000.0,1000.0
phenotype_protein,effect/phenotype,gene/protein,kg4rd:1699,kg4rd:1756,:38484964:Aj6R7jcdTaqAfYZCP4Tps5,sudden death,dmd,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1903,:38436872:FsvSqVMmfjqqhCYiKeEUJS,duchenne muscular dystrophy,anemia,1000.0,1000.0
anatomy_protein_absent,anatomy,gene/protein,kg4rd:2349,kg4rd:27306,:38339125:SripQBq6KwC5WUEAtWBt4K,myocardium,hpgds,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:27306,:38339125:dfPE4BpQHWksDv4aLy2CcQ,duchenne muscular dystrophy,hpgds,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10311,kg4rd:1490,:38336890:afxw3MHPY8oZW3CMcufZHs,becker muscular dystrophy,ccn2,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:25406,:38324931:AShJ74HjdCsEXWffmJTRzh,becker muscular dystrophy,asthenia,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:3676,:38271438:9euQEMkQqoZmh6HzuDz8i6,duchenne muscular dystrophy,itga4,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:230,:38193355:6wJFX7e4zWkGC4NUvWEFa5,duchenne muscular dystrophy,gingivitis,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:100812,:38193355:6dMuA4wvBXMASTxDgtV5yD,duchenne muscular dystrophy,halitosis,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:960,:38179963:fNBTpCUTPyVApfV7xWGUsb,duchenne muscular dystrophy,cd44,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1894,:38179963:dEDKVZ5tkDQ6GiTjyhgroh,duchenne muscular dystrophy,ect2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7298,:38179963:Xn8d98c6vUy9kXBWNXHfbP,duchenne muscular dystrophy,tyms,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:54551,:38179963:8vTaya5kQ6SeVwCfJwsx2V,duchenne muscular dystrophy,magel2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:3108,:38179963:39EYsMVEMNDAxuuZF7o3r9,duchenne muscular dystrophy,hla-dma,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:871,:38179963:2rhUcnnVddqoHJ7qy3AKQb,duchenne muscular dystrophy,serpinh1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7139,:38179963:hMsmd8oHcvCitezFHZpiRb,duchenne muscular dystrophy,tnnt2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:51676,:38179963:6nEFoAZcJuBJTQwwb7p5ry,duchenne muscular dystrophy,asb2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:55214,:38179963:ZqEpVTmjhUi58kPDoJk6Tr,duchenne muscular dystrophy,p3h2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1293,:38165583:bStxR7JUXA2AAWjZ7CFvfD,duchenne muscular dystrophy,col6a3,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1277,:38165583:ZSRYmi6gacbt4TBithciVH,duchenne muscular dystrophy,col1a1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1281,:38165583:Ajqb9pc35rhhAuyv5MHSjS,duchenne muscular dystrophy,col3a1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1278,:38165583:Cc2ob9k9WcDo4nCo66tmnR,duchenne muscular dystrophy,col1a2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7076,:38165583:JXbyAQkAbEbYee7o8vg98z,duchenne muscular dystrophy,timp1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7058,:38165583:JP4Xnv7ZxaLBCKnaqqTCvy,duchenne muscular dystrophy,thbs2,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:6696,:38165583:cJTxguhJMAHdDKffrjos9h,duchenne muscular dystrophy,spp1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1029,:38146684:Dk6WzDRo3nCcB6J4fbaH3U,duchenne muscular dystrophy,cdkn2a,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10311,kg4rd:1029,:38146684:iFzYAkEZr2b3jpcCAup39D,becker muscular dystrophy,cdkn2a,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:5090,kg4rd:1029,:38146684:3yRcThU2CtLJon5izZNzpX,muscle structure,cdkn2a,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:5267,:38099842:6ovLicCxpTbYxBHJzT3xky,duchenne muscular dystrophy,heart disorder,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7037,:38078368:jcBHbecD58sVFeh8AD5TyW,duchenne muscular dystrophy,tfrc,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:11925,kg4rd:9830,:37933889:UyvjSLKb5yDQefSVW9Cgqn,congenital merosin-deficient muscular dystrophy 1a,peripheral neuropathy,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:11925,kg4rd:3198,:37933889:EWSAntKrhX353Dn5Xvxwzx,congenital merosin-deficient muscular dystrophy 1a,myopathy,1000.0,1000.0
phenotype_protein,effect/phenotype,gene/protein,kg4rd:365,kg4rd:5456,:37929330:5fZjuh5bpVjkiR22D39CEP,hearing impairment,pou3f4,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:1103,kg4rd:11035,:37909859:29V8JoThX4Wv7DirpKL8Fw,diaphragm,ripk3,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:100613,:37740996:nLPjFVU7gPvj2hUhcyfXhW,duchenne muscular dystrophy,death in early adulthood,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:11947,:37724986:TEGXmWBfcgc9zhimcievs6,duchenne muscular dystrophy,respiratory tract infection,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:31371,:37724986:NPZktYs6EZMp3fi6SV6yuB,duchenne muscular dystrophy,rectal perforation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1942,:37724986:3RSWU9eLWWvJtTFEegZNzd,duchenne muscular dystrophy,metabolic acidosis,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:8056,kg4rd:1756,:37666691:PwpWBPohBfBvWrDyRcUsGP,myotonic dystrophy,dmd,1000.0,1000.0
disease_disease,disease,disease,kg4rd:5252,kg4rd:4992,:37628775:CZPu6CeNmm2oJgwcrNTgeA,heart failure,cancer,1000.0,1000.0
phenotype_protein,effect/phenotype,gene/protein,kg4rd:2505,kg4rd:1756,:37602688:e2rtoKVDab2NVdXcQyks2N,loss of ambulation,dmd,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:19079,kg4rd:6606,:37596438:Lj7HNUgog6vntwfGA8q3cF,proximal spinal muscular atrophy,smn1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3199,:37545256:NoRjDccqtq5Xx3xrXQyS47,duchenne muscular dystrophy,decreased muscle mass,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:10807,kg4rd:689,:37334614:33qXkhRQmCz8ZEY4V3Pgau,open bite,dental malocclusion,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:16236,kg4rd:50650,:37311604:8fxgsCuNU3j5B3pjbRhjxF,macroautophagy,arhgef3,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:50650,:37311604:CtUfdw7h4fH8EAU2Nd9bwr,duchenne muscular dystrophy,arhgef3,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10399,kg4rd:2710,:37091526:Knhydz3YWgCLkJmYdAXd2U,chromosome xp21 deletion syndrome,gk,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10399,kg4rd:190,:37091526:FEinLDy8q8gktBexmVBQcF,chromosome xp21 deletion syndrome,nr0b1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:10535,:37072321:P2vdRB4gyR8pTgju9gtDzK,muscular dystrophy,sleep apnea,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:2791,:37072321:2fkA4SDEJaqWE9S9QnbGSw,muscular dystrophy,hypoventilation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:44875,kg4rd:2791,:37072321:PmQE4izu49CBRszaXUQdcC,coronary microvascular disorder,hypoventilation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16367,kg4rd:2791,:37072321:Yadayp3a3oWHqCs9ws6q8i,dermatomyositis,hypoventilation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10651,kg4rd:2747,:37072321:bo6SsjrHnVwfecP4m5Rksy,menkes disease,respiratory insufficiency due to muscle weakness,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:40007,kg4rd:6885,:37071470:oMAuJnAS9R6L8oLnRngCnG,growth,map3k7,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:6885,:37071470:SixG5kw88wyBkdBjgGETBg,duchenne muscular dystrophy,map3k7,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2203,:37063046:BZtnsRXaqvJLrxRmbwjNy2,duchenne muscular dystrophy,respiratory paralysis,1000.0,1000.0
