subject,object,relation,uid,status
Duchenne muscular dystrophy (DMD),childhood-onset muscular dystrophy,Disease - Phenotype (positive),:40347511:5kWHJKjcgy4mweMA9Z7NN6,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy (DMD),severely affecting the quality of life (QoL),Disease - Phenotype (positive),:40347511:NgCJccgSEzvyVdKUf6xqvY,ONLY_ONE_SIDE_SYNONYM
DMD,progression of the disease,Disease - Phenotype (positive),:40347511:MAtYybXpVNZY75bahux5KR,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy (DMD),X-linked disorders,Disease - Phenotype (positive),:40332074:DhHXAeq6ica3KsT32L6uqL,ONLY_ONE_SIDE_SYNONYM
Duchenne disease,Dystrophin,Disease - Protein,:40332074:ZWhUpjF9UWKaFuYEZSBAPs,ONLY_ONE_SIDE_SYNONYM
mutations in Dystrophin domains,Dystrophin,Phenotype - Protein,:40332074:DV5REugnJDG66YsLWFCPD8,ONLY_ONE_SIDE_SYNONYM
DMD,fatal X-linked disorder,Disease - Phenotype (positive),:40331939:EttQjtqvhXFeXn6NCjq3q8,ONLY_ONE_SIDE_SYNONYM
DMD,dystrophin gene,Disease - Protein,:40331939:QcLgu22MUEbwcx8rNHVxAd,ONLY_ONE_SIDE_SYNONYM
DMD,muscle degeneration,Disease - Phenotype (positive),:40331939:kj3noKtgdbG9PacBSXFUCH,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,X-linked disease,Disease - Phenotype (positive),:40329488:eigGUedKckrpZvWvj4vvrX,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:40329488:8k4dTStcBcR6LuTzounsnT,KG_ALREADY_EXISTS
DMD pathogenesis,amino acid metabolism alterations,Disease - Phenotype (positive),:40329488:GiUzBB58vipGJorfLmgGNH,ONLY_ONE_SIDE_SYNONYM
DMD,amino acid deregulation,Disease - Phenotype (positive),:40329488:TZy6uGBVHxS9nGh3PrK6Ti,ONLY_ONE_SIDE_SYNONYM
DMD,lower levels of L-aspartate,Disease - Phenotype (positive),:40329488:ghNk8az4WzqG3iRjjTRttm,ONLY_ONE_SIDE_SYNONYM
DMD,lower levels of L-asparagine,Disease - Phenotype (positive),:40329488:JHeUAKbPVcKxEgeDQdXGuA,ONLY_ONE_SIDE_SYNONYM
DMD,lower levels of D-serine,Disease - Phenotype (positive),:40329488:HwqkyUX2Veq5vDWMfJLBmX,ONLY_ONE_SIDE_SYNONYM
DMD,lower levels of L-glutamine,Disease - Phenotype (positive),:40329488:WVu2y4LGMuDbjhSktVnQUX,ONLY_ONE_SIDE_SYNONYM
DMD,lower levels of glycine,Disease - Phenotype (positive),:40329488:YDMSqAeRZeM3bKsNrmbbgc,ONLY_ONE_SIDE_SYNONYM
DMD,lower levels of D-/Total serine ratio,Disease - Phenotype (positive),:40329488:jJozqmESp7ugPqXx6Htoee,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,progressive neuromuscular disorder,Disease - Phenotype (positive),:40329365:MP9QUPuhHAN8jUieVs7FZK,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,impaired muscle repair,Disease - Phenotype (positive),:40329365:WoN26Fa2VFCvZN9Y8Dx2vo,ONLY_ONE_SIDE_SYNONYM
Forskolin,adenylyl cyclase,Drug - Protein,:40329365:gnHcqPWH5AJh6bCdHWUGdE,ONLY_ONE_SIDE_SYNONYM
Forskolin,DMD,Drug - Disease (indication),:40329365:KvpNhfppc4UqLftn7JrsxH,APPROVED
DMD,fibrosis,Disease - Phenotype (positive),:40329365:EmfHqVZ7nvhDyQSmHYrQGY,NO_ID
Forskolin,worsened ventricular histology in the heart,Drug - Phenotype,:40329365:9CWMjTXkg34qobEYyWcRvA,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,passive muscle stiffness,Disease - Phenotype (positive),:40326906:7gQ6EGJ9yyybMNWcWSxrZK,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,medial and lateral gastrocnemius muscle strain ratio,Disease - Phenotype (positive),:40326906:bnqYd2XTomUdVKTywNsAYT,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy (DMD),Muscle weakness,Disease - Phenotype (positive),:40320555:ncn6PKzYMMG5WS2nj2g4ap,KG_ALREADY_EXISTS
Duchenne muscular dystrophy (DMD),contractures,Disease - Phenotype (positive),:40320555:JbxHBTqThzcwWzmP6FS7RU,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy (DMD),gait deficits,Disease - Phenotype (positive),:40320555:TsAHLPscRN3X3Byv3Xt6QN,ONLY_ONE_SIDE_SYNONYM
Skeletal muscle dystrophies,progressive muscle weakness,Disease - Phenotype (positive),:40320137:5fAZQSQB6V8SJUJFUuYXwm,ONLY_ONE_SIDE_SYNONYM
Duchenne and Becker muscular dystrophies,inherited disorders,Disease - Phenotype (positive),:40320137:eduoq3MyN3nSm5irSEgwcS,ONLY_ONE_SIDE_SYNONYM
Duchenne and Becker muscular dystrophies,dystrophin,Disease - Protein,:40320137:XCzdXMJN3Cs4ZUoxGj6atC,APPROVED
Duchenne and Becker muscular dystrophies,muscle cell instability,Disease - Phenotype (positive),:40320137:EE3Pinh35Jj6DL3ETrkauM,ONLY_ONE_SIDE_SYNONYM
Duchenne and Becker muscular dystrophies,chronic inflammation,Disease - Phenotype (positive),:40320137:LyHkXDpBoC8joNccufmkw2,APPROVED
Duchenne and Becker muscular dystrophies,fibrosis,Disease - Phenotype (positive),:40320137:jsBngYBGfuEuYPN4Xwvf56,NO_ID
Duchenne and Becker muscular dystrophies,impaired muscle regeneration,Disease - Phenotype (positive),:40320137:aDCgGScoPa9wsK7LJkqxdp,ONLY_ONE_SIDE_SYNONYM
DMD/BMD,muscle damage,Disease - Phenotype (positive),:40320137:GrCcQu85NDQr44j3cmG4Fn,TWO_SIDE_NO_SYNONYM
BMD,fibrosis,Disease - Phenotype (positive),:40320137:T39zabyUYpnuDbXEgbWh5J,NO_ID
BMD,inflammation,Disease - Phenotype (positive),:40320137:MQP6BZ7VgDiddgJGVbjZfm,NO_ID
BMD,capillarization,Disease - Phenotype (positive),:40320137:PwxWEsHUpKBGsr6oWiT2jZ,ONLY_ONE_SIDE_SYNONYM
BMD,increase in connective tissue,Disease - Phenotype (positive),:40320137:NigH6eg8Pk3Zxtr87s7TXA,APPROVED(NODE_ALL_EXISTS)
BMD,reduced capillarization,Disease - Phenotype (positive),:40320137:NKCd6caiwhBsavQQTEL9bi,ONLY_ONE_SIDE_SYNONYM
BMD,vascular adaptations,Disease - Phenotype (positive),:40320137:6FeykKqye65CN3UA8crRgg,APPROVED(NODE_ALL_EXISTS)
BMD,elevated capillary-to-fibre ratios,Disease - Phenotype (positive),:40320137:XY8TJ2N2tWYTvAQwAq7sUA,ONLY_ONE_SIDE_SYNONYM
BMD,capillary contacts,Disease - Phenotype (positive),:40320137:jsUNppwTs6X3p4UD7UbNG9,ONLY_ONE_SIDE_SYNONYM
BMD,chronic muscle degeneration,Disease - Phenotype (positive),:40320137:2ANFSijAw9ns7veivsegz7,ONLY_ONE_SIDE_SYNONYM
BMD,predominance of CD68-positive macrophages,Disease - Phenotype (positive),:40320137:iD8Sayt3oL6k9RGsyetsMB,ONLY_ONE_SIDE_SYNONYM
BMD,increased CD4/CD8 T-cell activity,Disease - Phenotype (positive),:40320137:nsE8tCaA2rM2hAPJhkZE9i,ONLY_ONE_SIDE_SYNONYM
Skeletal muscle dystrophies,muscle pathology,Disease - Phenotype (positive),:40320137:MptBbCjGwgEDFHYt3UGYTi,TWO_SIDE_NO_SYNONYM
Skeletal muscle dystrophies,structural adaptations,Disease - Phenotype (positive),:40320137:WuLGBLYDr4rnJE6GpcNV7x,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,"progressive, incurable X-linked neuromuscular disease",Disease - Phenotype (positive),:40285799:koH6taDo6xG23r7ZnTokrq,ONLY_ONE_SIDE_SYNONYM
DMD,cardiovascular complications,Disease - Phenotype (positive),:40285799:JXcNv7P5w9Kr5gDNRqE4Cw,ONLY_ONE_SIDE_SYNONYM
Glucocorticoids,DMD,Drug - Disease (indication),:40285799:oLpA7f9GfnZeHHSuoqMTpf,ONLY_ONE_SIDE_SYNONYM
early glucocorticoid therapy,cardiomyopathy,Drug - Phenotype,:40285799:KxtFgNuDjf649ZvwZXU5pg,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,X-linked disease,Disease - Phenotype (positive),:40275384:csA2AsRr4LRVnMWVMggUd6,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,chronic inflammation,Disease - Phenotype (positive),:40275384:23ot3rrAo9aKYyGsQyy2sy,APPROVED(NODE_ALL_EXISTS)
Duchenne Muscular Dystrophy,progressive muscle damage,Disease - Phenotype (positive),:40275384:7KFjmXW9QKyzvdBMBHD7TM,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,muscle loss,Disease - Phenotype (positive),:40275384:CK8iGbyeCJuGhALowH9sZF,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,myonecrosis,Disease - Phenotype (positive),:40275384:gxmKFiLPxRp4yy6M3WaCAN,ONLY_ONE_SIDE_SYNONYM
PK007,hematopoietic prostaglandin D2 synthase (HPGDS),Drug - Protein,:40275384:C9BhCKkujhBGbxYYeWp5BD,ONLY_ONE_SIDE_SYNONYM
PK007,DMD,Drug - Disease (indication),:40275384:J3JEfWhZN3U6dL2TwikCYx,ONLY_ONE_SIDE_SYNONYM
PK007,inflammation,Drug - Phenotype,:40275384:gShmWKoqto73LLgF7eSVML,ONLY_ONE_SIDE_SYNONYM
PK007,necrosis,Drug - Phenotype,:40275384:XPdE5Tszw8BjyyXAsbuYDJ,TWO_SIDE_NO_SYNONYM
PK007,DMD,Drug - Disease (indication),:40275384:NrHXnmUZbwANfQcmXtx8ip,ONLY_ONE_SIDE_SYNONYM
maintaining mitochondrial function,Oestrogen receptor alpha (ERα),Molecular function - Protein,:40258782:75GMEucHpXrxHaTeWUCy9K,ONLY_ONE_SIDE_SYNONYM
regulating metabolism,Oestrogen receptor alpha (ERα),Biological process - Protein,:40258782:cSVxBWUzHZJ9Qdz9F4UmxV,APPROVED(NODE_ALL_EXISTS)
myocyte,ERα,Cellular component - Protein,:40258782:TD3MwRBHYYVxw7GgtTYGZM,TWO_SIDE_NO_SYNONYM
skeletal muscle regeneration,ERα,Biological process - Protein,:40258782:QesFCq4EqPG4efsn9z5pRJ,ONLY_ONE_SIDE_SYNONYM
triceps,ERα,Anatomy - Protein (present),:40258782:227KSjizSWenbowL5DawkL,ONLY_ONE_SIDE_SYNONYM
DMD,ERα,Disease - Protein,:40258782:GUpSdhU6YhiNendQ4vdPAV,ONLY_ONE_SIDE_SYNONYM
ERα/oestrogen-related receptor alpha (ERRα)/myogenic differentiation 1 (MyoD) signalling pathway,ERα,Pathway - Protein,:40258782:bJTzjacRpPRKxB7u5Cd5di,TWO_SIDE_NO_SYNONYM
ERα/oestrogen-related receptor alpha (ERRα)/myogenic differentiation 1 (MyoD) signalling pathway,oestrogen-related receptor alpha (ERRα),Pathway - Protein,:40258782:ZV9qyh6E93Tb8nfmE6eakK,ONLY_ONE_SIDE_SYNONYM
ERα/oestrogen-related receptor alpha (ERRα)/myogenic differentiation 1 (MyoD) signalling pathway,myogenic differentiation 1 (MyoD),Pathway - Protein,:40258782:MCMyzSJwzCnu8a6KcvAf9p,ONLY_ONE_SIDE_SYNONYM
GAS,ERα,Anatomy - Protein (present),:40258782:bP7e8F3DV9yV94TPka7ntv,TWO_SIDE_NO_SYNONYM
TA,ERα,Anatomy - Protein (present),:40258782:XGvHx2eJnREibhZv8XQCNY,TWO_SIDE_NO_SYNONYM
Tadalafil,phosphodiesterase 5 (PDE5),Drug - Protein,:40217158:bJ9saxDyxSS4BqrC4sHnGW,APPROVED
Duchenne muscular dystrophy (DMD),phosphodiesterase 5 (PDE5),Disease - Protein,:40217158:8s6o92h784fCTHKyMErkkD,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy (DMD),loss of ambulation,Disease - Phenotype (positive),:40217158:8au2kB2tQSrJM6VrnjHjeR,KG_ALREADY_EXISTS
Tadalafil,diastolic LV internal dimension (LVIDd),Drug - Phenotype,:40217158:m7RGvCNFNdCycmDCDUNNys,ONLY_ONE_SIDE_SYNONYM
Tadalafil,LV systolic dimensions (LVIDs),Drug - Phenotype,:40217158:XghvNhWTesFbGRT4nKRSmo,ONLY_ONE_SIDE_SYNONYM
Tadalafil,LV end diastolic volume (EDV),Drug - Phenotype,:40217158:m2fmuj6BBsT8BS2wb6s9X8,ONLY_ONE_SIDE_SYNONYM
Tadalafil,stroke volume,Drug - Phenotype,:40217158:BvCwJGvU3QyusN2tVZy8Fq,ONLY_ONE_SIDE_SYNONYM
Tadalafil,cardiac output,Drug - Phenotype,:40217158:Z5anyeQXsCbC4XEYCU9MgK,ONLY_ONE_SIDE_SYNONYM
DMD,LV tonic contraction,Disease - Phenotype (positive),:40217158:CWTPiDAdXwq4d6QpDyrxWX,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,X-linked genetic disorder,Disease - Phenotype (positive),:40203679:B5t4JW2SWV2muUG4xHcdzY,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,progressive muscle degeneration,Disease - Phenotype (positive),:40203679:cmSPfCXctRia8Ui3J3zPSC,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,early cardiac involvement,Disease - Phenotype (positive),:40203679:dbFFSFZGyavuDZYWD7G6qq,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,cardiac dysfunction,Disease - Phenotype (positive),:40203679:f5kkUEyUpC3MSir76tteyG,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:40203679:nmhMKNvjDKhuCaGJjQxtYV,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,reduced proliferation,Disease - Phenotype (positive),:40203679:MQiYn2zYszRkJY6zSoyv8P,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,increased metabolic activity,Disease - Phenotype (positive),:40203679:KwxcjGDyEKupHrSH3GEkKe,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,arrhythmicity,Disease - Phenotype (positive),:40203679:KasKK7CSvi9ddnr2m3heFj,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dilated cardiomyopathy,Disease - Phenotype (positive),:40203679:B6c2NfrbmQUEti6oQYc5vk,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,devastating genetic disorder,Disease - Phenotype (positive),:40195304:HbbVsdup9W3H9g9mfXcxoL,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,Mitochondrial dysfunctions,Disease - Phenotype (positive),:40195304:Qq75EUpoF6bwf863sKmBQ9,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,SIRT1,Disease - Protein,:40195304:gE7Xu5hLF966xvk6Ez4Xmj,APPROVED(NODE_ALL_EXISTS)
resveratrol,SIRT1,Drug - Protein,:40195304:E5pbDFDQML8qoNR4MrGkbc,APPROVED
SRT2104,SIRT1,Drug - Protein,:40195304:bZACXfUm4Gdztsdsi8T7LS,ONLY_ONE_SIDE_SYNONYM
SRT2104,DMD,Drug - Disease (indication),:40195304:VPkJ3xt5H7R9n2qaQcp9QE,ONLY_ONE_SIDE_SYNONYM
SRT2104,anti-inflammatory action,Drug - Phenotype,:40195304:k4BbdtbkULrTrvCa3DCjAm,TWO_SIDE_NO_SYNONYM
SRT2104,anti-fibrotic action,Drug - Phenotype,:40195304:F776NcsDmuiBPRARLyKkzV,TWO_SIDE_NO_SYNONYM
SRT2104,pro-regenerative action,Drug - Phenotype,:40195304:YDUdR8zfnEqoadadDiqzjS,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:40183632:bzLkpuf6UcdEaWpqAQXkRH,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,loss of functional dystrophin protein,Disease - Phenotype (positive),:40183632:E27tukPKTfZ77SLpnYfPRS,ONLY_ONE_SIDE_SYNONYM
phosphorodiamidate morpholino oligomers,Duchenne muscular dystrophy,Drug - Disease (indication),:40183632:WYT5TWLCt5QRa9UgGkv2De,ONLY_ONE_SIDE_SYNONYM
AOC 1044,DMD44,Drug - Disease (indication),:40183632:SPsHewPRtomFmmDHAMhWhg,TWO_SIDE_NO_SYNONYM
AOC 1044,transferrin receptor (TfR1),Drug - Protein,:40183632:KL2hvXJMhpidibq3a3N2EN,ONLY_ONE_SIDE_SYNONYM
AOC 1044,muscle damage,Drug - Phenotype,:40183632:AccZa7bxJSEcFrynFxYqbv,TWO_SIDE_NO_SYNONYM
AOC 1044,decreases in serum creatine kinase,Drug - Phenotype,:40183632:8vGCPPC8ajvw5tvcQXztog,ONLY_ONE_SIDE_SYNONYM
AOC 1044,decreases in key liver enzymes,Drug - Phenotype,:40183632:HurJztkiBiy7PNds2YiuzZ,TWO_SIDE_NO_SYNONYM
AOC 1044,increases in PMO concentration,Drug - Phenotype,:40183632:bWSNYxAu3A6Xy492g6JzfU,TWO_SIDE_NO_SYNONYM
AOC 1044,dystrophin restoration,Drug - Phenotype,:40183632:ieHzUGGJT7ZnRSnTCURcsZ,TWO_SIDE_NO_SYNONYM
AOC 1044,muscle degeneration,Drug - Phenotype,:40183632:oUPyjFpMdhomVrxjhAYLKp,ONLY_ONE_SIDE_SYNONYM
