relation,x_index,y_index,uid
phenotype_protein,27017,6835,:35912995:jS6YdxvbRSLz5CtgGFkGDH
disease_phenotype_positive,40189,75188,:35886926:bJCzQpV49Y6swLCmPoWXrW
disease_disease,40189,47521,:35614293:EK2iHh5MhAeqMuR5RQGBgz
disease_phenotype_positive,38894,27384,:35367224:mxSvisqwA5KWjcnLcQZdnY
disease_protein,40189,780,:35298089:i3bvgsiKA8stJTZsGqoX3n
disease_phenotype_positive,40189,28601,:35273230:HKjpHvGioGrCafiSnCSTYs
disease_phenotype_positive,40189,31527,:35236763:T8jQr3AG2EXcrC9yVWFTrN
disease_phenotype_positive,40189,30272,:35236763:EJNTKqKeR2qK9cD4dxXhEv
disease_disease,40189,44445,:35215377:Bh5kwfUYRWk3YvnCn2DMhy
disease_phenotype_positive,40189,28082,:35215377:i5KP4B4JaGr47T88zKLLeq
disease_phenotype_positive,40189,27190,:35215377:3ZecbLoURyG8XypZCwcgx5
disease_phenotype_positive,40189,27435,:35215377:5rJ3HxsUbGcCsPFRFByE8h
disease_protein,40189,2727,:35170869:H3DM48fsVLXRkMnPy5jPAg
disease_phenotype_positive,40189,27535,:35157045:2ft87Qq7noXqeqDzZXQyfs
disease_protein,40189,8995,:35132805:bnLiFWagBYosca9ACYhMAg
phenotype_protein,27384,9016,:35064002:9otffHMfpZ24mMwkRgSMYU
bioprocess_protein,53219,9016,:35064002:VVC6TfqqTHYsdUgjEoTCYb
disease_protein,40189,10354,:35055145:njApWA2KnGLfxH2Epkzmpb
disease_phenotype_positive,40189,73906,:34964145:JGFzQJsWWmKc4QZCpGdCEb
disease_protein,40189,14498,:34930315:Q6hWpz5ewLHvvChxuXCiCw
disease_protein,40189,11367,:34930315:nsCCVR8MFVYCqA5awDVVuN
disease_protein,40189,4886,:34922439:4DrumKRkPQrzzJZESnroPo
disease_protein,40189,11526,:34922439:CNSVg6snjmu4goADGoYqrM
disease_protein,40189,3078,:34922439:DZoMmHmKW7VZ54oBZpGvGi
disease_protein,40189,16605,:34922439:nwR67YQ4T7E3GvmKJkzsfm
disease_protein,40189,43492,:34922439:nwR67YQ4T7E3GvmKJkzsfm
disease_protein,40189,2342,:34922439:DN64kkeAUGcFHqruqzvvV8
disease_protein,40189,2410,:34922439:U8s7T6siMvrnjsKwvyEWSP
disease_protein,40189,1028,:34922439:5vEuF7m3TcKiHm9bGDdJ3v
disease_protein,40189,10893,:34922439:U5RAxN4Eb9WacbPUx2cERj
disease_protein,40189,4213,:34922439:oJsSjTcCeutu3YKGWpuD6u
disease_protein,40189,1898,:34922439:Ny9oNnoypusqpB2S6bwtPE
disease_protein,38894,926,:34922439:RRUe4oCJ8NAtWREqiA8XnE
disease_protein,38894,8674,:34922439:9JMeDh89uUqjiE5LQnCCV7
disease_protein,38894,1028,:34922439:NsqcA4T9VTqTikBRE8rG8Q
disease_protein,38894,7001,:34922439:3RLtu9x9Dby6fv9hpCS57h
disease_protein,38894,3222,:34922439:UahTowoDKdtQXYrFuqzJLw
disease_protein,38894,9166,:34922439:GtDN5VNAb79qMc3m9etX89
disease_protein,38894,1547,:34922439:cmoLsvP8PPFpZ6KsJ7Uber
disease_protein,38894,10123,:34922439:ECR8qtGczYFVMoAVzF8S3F
disease_protein,38894,10894,:34922439:SXE2LFYZJRFGZ8eK7cR4BX
disease_protein,38894,2989,:34922439:DEKrctByKQJsLUPRNTPQNk
disease_disease,49943,40189,:34850383:GSSKf9EFHKRmjk7Ygvssdv
disease_phenotype_positive,40189,30442,:34796900:YdXquGXbDZAvG3QfDSZ8oD
disease_disease,49994,49943,:34764091:9EWequqryMTJRUXWuzLo9K
disease_protein,40189,15849,:34569076:ZBCkpPnE3tKZKcYsGU9QHR
disease_protein,40189,10523,:34569076:WTiGFXgHzqFyy6iv5jFE4M
disease_protein,40189,2127,:34553378:gExpDPE3dZLAhehGKzkcNZ
bioprocess_protein,62424,26390,:34454586:Mk7xKaH2pMcLA76CFtczM6
disease_phenotype_positive,40189,28273,:34453345:KHE3ePbKxqyveaGPU4S7aY
disease_disease,40189,46111,:34453345:DgjCBf3UTv3E4ZKWksiNRK
bioprocess_protein,53806,12440,:34424816:AzNjaCTKBvZWUugynffqD6
phenotype_protein,28022,9016,:34374652:e6MT4ysaR44eNk3uTM7kHZ
disease_protein,40189,10478,:34214631:7GzKSEE33G9HnkfyRpfHGA
disease_protein,40670,8069,:34078746:3GNcxiN8Ez52wUAbroYov3
phenotype_protein,28260,8069,:34078746:JjcrNtbisd3Fkm9Wjat3DG
phenotype_protein,28833,5693,:34071145:WUb3DWSuB2QVcBDhRCyWwg
phenotype_protein,27524,5693,:34071145:mLnHVwpqjKXcsjeggmuTqm
disease_phenotype_positive,40189,27720,:34053847:mF8t7MfksmkZubddRfft28
bioprocess_protein,54260,9307,:34048282:QCUdtdybDBpndnpUTgCPWp
disease_phenotype_positive,40189,30912,:34024777:BkGGn2kzCjupTiS5UVmvh8
disease_phenotype_positive,40189,29388,:33826161:j4SddoJVpu2qrrdto6sTok
bioprocess_protein,59921,4747,:33770101:MHE9rwtUwvjQNZqrzxSsmr
disease_phenotype_positive,40189,27706,:33741226:LZ5LARpQNZXV3GqMvCNU8J
disease_phenotype_positive,40189,30402,:33741226:EAHDs26NG9uQfGaEfBQue4
disease_phenotype_positive,40189,27446,:33523015:Ksh4FXzQrNzH6zhj3oDdkE
disease_phenotype_positive,40189,31753,:33471740:9BVNnApnMtUaukMCaSLJDK
cellcomp_protein,118670,4660,:33423297:bbkdKJ6seLAM2hXzDT7moe
bioprocess_protein,57069,9016,:33407808:Mpvn4SLYmhgUPwTw3Sgdjf
disease_protein,41103,26355,:33314705:7yk55v8Qj5RhK2v3fFMHCK
disease_protein,41103,68019,:33314705:7yk55v8Qj5RhK2v3fFMHCK
disease_protein,41103,16717,:33314705:BLm4y8TJBMwTwyZhxJC6G8
disease_protein,41103,16696,:33314705:J77AREvhL3SKZ5P2hAeaNL
disease_protein,47619,16696,:33314705:NJLsisy6c5oQbF57LxujnX
disease_phenotype_positive,40189,73007,:33309480:bmbFmUBW64KWH7jCCRSidr
bioprocess_protein,62424,9733,:33259860:eCqr6PJzERoCZvxPFgwrow
disease_protein,40189,9733,:33259860:nLJmcYXZBGYksMrFNDRcsn
disease_protein,40189,2533,:33257646:M7nq6HkqzNEqbAqiGYye9X
disease_phenotype_positive,40189,74581,:33131659:5GZWnRmPTLyzVpHW9LkQMc
disease_protein,40189,7540,:33114289:c9bNnTafStfYBZ4KXNpMLj
disease_protein,40189,10148,:33068545:M5zshszMWAvEUqrXDYoXvx
disease_phenotype_positive,40189,73408,:33002199:PoxwbcacsxvimdVysVJ6rf
disease_protein,40189,2692,:32791870:mM4X7hPyoR4sjNJUWWk2dx
disease_protein,40189,3340,:32791870:NcUmcAShY9CCzaypWQrRsM
disease_protein,40189,5782,:32791870:XFwQSz8iAj5L5cZk3RhifQ
disease_protein,40189,15398,:32791870:apz8WXyZpqxDJgL26DozCo
disease_protein,40189,6732,:32791870:j2q7qwuMsq9rPSViT9Mk2M
disease_protein,40189,800,:32791870:JagdSx83ZzGHRDt7UXVwbW
disease_protein,40189,13347,:32791870:cU8WQPGL2pPWLENYyfqNt4
disease_protein,40189,650,:32791870:PHmnTdc37UezzmzG3AHzMN
bioprocess_protein,64467,9016,:32789934:BngFtAbRqwvviXL44rVkpf
disease_phenotype_positive,40189,30824,:32772581:KDLdYApSwBGtac4MpZQDDJ
disease_phenotype_positive,40189,27854,:32772581:jaqaG66Pn4pbAf3C9p9ubi
disease_protein,40189,2938,:32766788:PxYynaaBpzH7syG3FrtPTo
disease_phenotype_positive,40189,81239,:32758414:MZTQt98TjcvtAzqiNZ9eLj
disease_phenotype_positive,40189,30652,:32740854:Hkret5agmync4Xvs8xRdZk
disease_disease,40189,33185,:32738034:oUtpZT79vDcNeN6gfzboZX
disease_protein,40189,7832,:32592467:Mcq2gfvjAPVs7XuQCNmnmK
disease_protein,40189,3162,:32592467:FfukU4VuPEgURy9wq95ZDM
disease_protein,40189,9092,:32592467:DhGjdduCRNYYMsnx5Af845
disease_phenotype_positive,40189,78385,:32447503:Mb5hsfKzXqyJ6KAiDgh7xF
disease_phenotype_positive,40189,73324,:32447503:eGoKxScNrmasMoz73fqDv5
disease_phenotype_positive,40189,73739,:32447503:Ev7eR2NpdWtF2FJMfeyVsD
disease_phenotype_positive,40189,73746,:32447503:fPQxWVGf8S6R68P65ecmEA
disease_phenotype_positive,40189,74629,:32447503:dfr3bBDEESWyqsPUVUFqMC
disease_phenotype_positive,40189,73511,:32447503:LYf4nhj7MUAQdui4f8yutf
disease_protein,40189,1845,:32419339:jo2naDoVgH5tnfQhZcQyZS
disease_phenotype_positive,49513,27148,:32222927:WXNffZSuB3D3cAvEgmXtWi
disease_phenotype_positive,49513,72982,:32222927:DbGzuG3qVkeqpiGQMoHD5C
disease_protein,49943,364,:32211681:WBGRNWxjbxD6Xo9PfSbtcC
disease_protein,49943,15849,:32211681:BoHX9HwvhXJ5adMwUYciBg
bioprocess_protein,57069,4541,:32157826:8tWbiTiN29e52XFShjP2Ax
bioprocess_protein,57069,7052,:32157826:RDeZKC4GCTQUNzMgevfaRw
bioprocess_protein,57069,11105,:32157826:44iw4XgcLxpc65ovxHQeV8
bioprocess_protein,57069,2241,:32157826:fWGA3LyQgfLJ9QmjrXMqEk
bioprocess_protein,57069,8107,:32157826:gNvwG4tWw29KWF2h5ktDK2
bioprocess_protein,57069,13265,:32157826:FV7or8bQdgswq2MBBanUBM
bioprocess_protein,57069,2884,:32157826:nsjnBYuNefSTxvMYywN49o
bioprocess_protein,57069,8204,:32157826:cLS3BgXmPupfnvuV3ZUYVY
