relation,x_type,y_type,x_id,y_id,uid,x_preferred_name,y_preferred_name,x_preferred_name_score,y_preferred_name_score
disease_phenotype_positive,disease,effect/phenotype,kg4rd:18881,kg4rd:3546,:40110646:nF7eJqw75fVMXMsMffkYqa,myelodysplastic syndrome,exercise intolerance,85.71428571428572,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:25406,:40102886:j8eaWLaoCwaR2nnDMmNK9c,duchenne muscular dystrophy,asthenia,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:19079,kg4rd:9067,:40102886:WbgCsK9YVCnYe6RSWVXvz6,proximal spinal muscular atrophy,progressive spinal muscular atrophy,1000.0,89.85507246376811
disease_phenotype_positive,disease,effect/phenotype,kg4rd:19079,kg4rd:25406,:40102886:HuLBma2F6Y754Vs6sNmdE9,proximal spinal muscular atrophy,asthenia,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:15667,:40101139:idXW6bW58MwJtfJwmt3ijV,duchenne muscular dystrophy,acute myeloid leukemia,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:4992,kg4rd:1756,:40101139:VaCvWSLWpBXC7kaapSboaP,cancer,dmd,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3678,:40051007:7XFY2N4yS5TSkAfCWSiuyg,duchenne muscular dystrophy,rapidly progressive,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:7340,:40051007:DN2GavR7Bef6bTxXKoLddy,qualitative or quantitative defects of dystrophin,lower limb muscle weakness,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:3391,:40051007:YqSye4mLZMoctwUTmJDuUT,qualitative or quantitative defects of dystrophin,gowers sign,1000.0,100.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:5336,kg4rd:3236,:40051007:TPghwo9TViwh4Egja3WN7H,myopathy,elevated circulating creatine kinase concentration,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:5336,kg4rd:10834,:40051007:deQ4WUockHAXx7vZhji7JS,myopathy,trophic changes related to pain,1000.0,90.9090909090909
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2360,:40021828:A4gTbZSXiwi8JnmmphcDXe,duchenne muscular dystrophy,sleep abnormality,1000.0,85.71428571428572
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1685,:40008976:gQBGVzVrQYni4s2BQkeLEe,duchenne muscular dystrophy,myocardial fibrosis,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:33667,:39998149:G8eyFAETXgs4kKTnuLCBFV,becker muscular dystrophy,diminished mental health,92.5925925925926,90.9090909090909
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:12593,:39998149:YVgCAQy6odtkD6a8MgRT2q,becker muscular dystrophy,nephrotic range proteinuria,92.5925925925926,100.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2180,:39973462:mPGx8SR5hCQYrekURHowWA,duchenne muscular dystrophy,neurodegeneration,1000.0,89.41176470588236
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3677,:39962811:joaXcjHJ6P4o2TfmSi7buJ,duchenne muscular dystrophy,slowly progressive,1000.0,88.37209302325581
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:7018,:39946777:W7NP46vbExFyENvVSEdAsN,duchenne muscular dystrophy,attention deficit hyperactivity disorder,1000.0,98.76543209876543
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2650,:39945205:dRAsbDzqtFh9vibjko8nMA,duchenne muscular dystrophy,scoliosis,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3693,:39939773:caATbeLf3bLQR2DbjVVZA7,duchenne muscular dystrophy,distal amyotrophy,1000.0,86.79245283018868
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7402,:39939773:V3LbftQCzrEjTDiNm4CLhz,duchenne muscular dystrophy,utrn,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:14893,kg4rd:1457,:39915227:EvH3deJ2QVqJtQp43rxNMt,okur-chung neurodevelopmental syndrome,csnk2a1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:6000023,:39894866:NwKwwqg8RoDtHyRgYDv7uM,duchenne muscular dystrophy,lack of sufficient daily physical activity,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3676,:39889824:mJMtxFuQMptZFubfpsUa6Z,duchenne muscular dystrophy,progressive,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:10468,kg4rd:9365,:39889824:Vcd9N4B8RHXLsvbNkEFCnt,regulation of gene expression,kl,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:43403,kg4rd:2335,:39874107:Bb6d3353R2DJqmSEB2hivt,skeletal muscle tissue regeneration,fn1,88.88888888888889,85.71428571428572
bioprocess_protein,biological_process,gene/protein,kg4rd:14834,kg4rd:2335,:39874107:kYVWxBqV2Vx2LeSMuhUqvb,skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,fn1,1000.0,85.71428571428572
pathway_protein,pathway,gene/protein,kg4rd:R-HSA-157118,kg4rd:2335,:39874107:2vSyVHiZCRyNemijMEMWgh,signaling by notch,fn1,90.9090909090909,85.71428571428572
pathway_protein,pathway,gene/protein,kg4rd:R-HSA-198745,kg4rd:2335,:39874107:deUC9Jg8iazLb3igqZ5ucm,signalling to stat3,fn1,88.23529411764706,85.71428571428572
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:2335,:39874107:REBNuVi7WSP3LEfAYuf7Zt,duchenne muscular dystrophy,fn1,93.10344827586206,85.71428571428572
disease_protein,disease,gene/protein,kg4rd:3939,kg4rd:2335,:39874107:EmmbHxxzTGKQK6CePDqhgK,muscle tissue disorder,fn1,97.14285714285714,85.71428571428572
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:25406,:39865125:JJXrrob89ire4Ni8T936tY,muscular dystrophy,asthenia,89.47368421052632,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:45214,kg4rd:51132,:39865125:FnQaRvoyN7UuwJMmKHTiEL,sarcomere organization,rlim,1000.0,89.85507246376811
bioprocess_protein,biological_process,gene/protein,kg4rd:16567,kg4rd:8736,:39865125:TaEyVmu36wQqYW4ktMygUV,protein ubiquitination,myom1,1000.0,88.88888888888889
bioprocess_protein,biological_process,gene/protein,kg4rd:16567,kg4rd:58529,:39865125:3Pkh3jbtktihyka4a8a98z,protein ubiquitination,myoz1,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:5298,:39864173:BHNnm9h6QSXJBPPEHUncfL,duchenne muscular dystrophy,osteoporosis,93.10344827586206,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:25464,:39806512:KYgvPQ5NjGeJpFWCshq2kn,duchenne muscular dystrophy,increased reactive oxygen species production,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:4322,:39792921:mYo3Juk69pDcwiXtEjPD4H,duchenne muscular dystrophy,short stature,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:708,:39792584:MVBp9JQ7DvHaAXdH4i3HrF,duchenne muscular dystrophy,atypical behavior,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:32341,:39775224:kYTatN6rw2oCgPm7SqNEpf,duchenne muscular dystrophy,reduced forced vital capacity,93.10344827586206,93.5483870967742
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:8964,:39760982:DXV8Ahuj6aDn5BizTcFi84,duchenne muscular dystrophy,nonprogressive muscular atrophy,88.52459016393442,88.52459016393442
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:164,:39760982:5nnqAj6teBWp2KS6wWnqfa,duchenne muscular dystrophy,abnormality of the dentition,88.52459016393442,92.3076923076923
disease_disease,disease,disease,kg4rd:10679,kg4rd:18945,:39749981:hai6X7zJ3dCAxe4wBt6J3n,duchenne muscular dystrophy,mcleod neuroacanthocytosis syndrome,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:8356,kg4rd:1756,:39723578:YGCeRi7HqtvqwvoELuTf6M,asymmetric cell division,dmd,97.95918367346938,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:3323,:39719374:X8rjSYFsyVQdMYBtVPrt8S,qualitative or quantitative defects of dystrophin,progressive muscle weakness,88.23529411764706,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:739,:39719374:4MSSeN5cnEamZQenv9jJZ5,qualitative or quantitative defects of dystrophin,anxiety,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:7018,:39719374:BCeVqAh46FdzbWP6v9XRTT,qualitative or quantitative defects of dystrophin,attention deficit hyperactivity disorder,1000.0,94.11764705882352
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:722,:39719374:cMFxQFaBTowwL86aKkzJje,qualitative or quantitative defects of dystrophin,compulsive behaviors,1000.0,93.5483870967742
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:716,:39719374:b66DfM923NYy3DVy4W5qRC,qualitative or quantitative defects of dystrophin,depression,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:717,:39719374:RWay3iJAQrWBpESZ3d5qKJ,qualitative or quantitative defects of dystrophin,autism,1000.0,92.3076923076923
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:1324,:39718956:NqcLNAtdvEXXbKP6dNmiTr,qualitative or quantitative defects of dystrophin,muscle weakness,88.23529411764706,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:3546,:39718956:DLUKtsizBazg7KcSFLrX7d,qualitative or quantitative defects of dystrophin,exercise intolerance,88.23529411764706,88.88888888888889
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3077,:39716324:RfkyBdtD9MS8pxnhUHMn6H,duchenne muscular dystrophy,hyperlipidemia,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:43403,kg4rd:7476,:39702274:PPm3sDHPjFoCV2Toxp3QMZ,skeletal muscle tissue regeneration,wnt7a,88.88888888888889,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7476,:39702274:n6UTkR8UhXr4Y4YbR4Jfjy,duchenne muscular dystrophy,wnt7a,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1510,:39669499:5bhD4KB8URT3D69ZJ3rkRy,duchenne muscular dystrophy,growth delay,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:100512,:39669499:fu4ci8oxKM2LaiTkGXiuGW,duchenne muscular dystrophy,decreased circulating vitamin d concentration,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:33428,:39669499:nH8iShVaBPT2jCMMFvJFtc,duchenne muscular dystrophy,systemic autoinflammation,1000.0,91.30434782608697
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1756,:39669499:knfr4bmr28sQWqe3yFBDye,duchenne muscular dystrophy,vestibular hyporeflexia,1000.0,85.71428571428572
cellcomp_protein,cellular_component,gene/protein,kg4rd:31012,kg4rd:1605,:39663457:Q7mNzpVQwKzp6373iYCTQH,extracellular matrix,dag1,1000.0,85.71428571428572
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2659,:39648958:7Z8ZdSakG5Eehi4shmeeuR,duchenne muscular dystrophy,increased susceptibility to fractures,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:8443,:39630734:MDirn3q6Qs7xng6eL3pXRq,duchenne muscular dystrophy,neuropathic spinal arthropathy,1000.0,88.23529411764706
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2540,:39630734:FyrbtC7xNZwwSgdRCumb6k,duchenne muscular dystrophy,inability to walk,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:3812,:39621041:4kueP7cyYR3oB466eKceL2,becker muscular dystrophy,phenotypic variability,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:19056,kg4rd:2878,:39618072:cECJ5UsFzSZZyk5JnqqEYY,neuromuscular disease,respiratory failure,97.67441860465115,1000.0
phenotype_protein,effect/phenotype,gene/protein,kg4rd:3202,kg4rd:1756,:39595988:ZaYrLNrJ5E3EXNoVWxbzYT,muscular atrophy,dmd,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:100033,:39595938:XuBCwQJmitznLhQ7w9yGqv,duchenne muscular dystrophy,tics,1000.0,85.71428571428572
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:12378,:39576166:9dDwtfjnxkxRxBRT83F7Ha,duchenne muscular dystrophy,fatigue,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:8055,kg4rd:12378,:39576166:Y69aq7fhWztaKxoQVKi3E4,thomsen and becker disease,fatigue,90.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:35148,kg4rd:84624,:39567831:M65yBSHGcsJATA4X5qx5GZ,tube formation,fndc1,90.32258064516128,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:45445,kg4rd:84624,:39567831:GvvJeWovefkZNbbxVqhd45,myoblast differentiation,fndc1,1000.0,90.9090909090909
disease_protein,disease,gene/protein,kg4rd:7294,kg4rd:84624,:39567831:itG6b4F7RbDqC3EyBzUWkd,central core myopathy,fndc1,87.17948717948718,1000.0
disease_disease,disease,disease,kg4rd:10311,kg4rd:16147,:39561886:VAhyfJ4KeusPWRR7iLxnib,becker muscular dystrophy,qualitative or quantitative defects of dystrophin,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:16147,:39561886:WpUVHqCoo8Mc4XpJT3xL8M,duchenne muscular dystrophy,qualitative or quantitative defects of dystrophin,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:5045,:39534979:DeexuY93gN7eoNLQVocXHf,duchenne muscular dystrophy,hypertrophic cardiomyopathy,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:5200283,:39531786:HT6S5JV6PY3QvbBUoarpYm,duchenne muscular dystrophy,sleep-related breathing disorders,1000.0,88.13559322033898
disease_disease,disease,disease,kg4rd:10679,kg4rd:7147,:39531786:f5T76BgQYqqxWytAikb6sk,duchenne muscular dystrophy,obstructive sleep apnea syndrome,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2877,:39531786:e7pAxCrMQuwWAvEopD6dnN,duchenne muscular dystrophy,nocturnal hypoventilation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:32654,:39519374:2gyzwsGqNuZLDrnTywsqN5,duchenne muscular dystrophy,impaired flow-mediated arterial dilatation,1000.0,85.18518518518519
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:3201,:39503119:QHj4FkgQwcStUiWoMFZBqh,muscular dystrophy,rhabdomyolysis,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:3201,kg4rd:1663,:39503119:cjgqV7jHFv4VkRQskmgKeS,rhabdomyolysis,ventricular fibrillation,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:3201,kg4rd:1695,:39503119:5jnAUGDnBRzV4PpWdEo4MA,rhabdomyolysis,cardiac arrest,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:2153,kg4rd:1663,:39503119:hLhoo2A22WUVnkhPAeJo9z,hyperkalemia,ventricular fibrillation,1000.0,1000.0
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:2153,kg4rd:1695,:39503119:2DHwpLhG3EeEWnxf8wN4YX,hyperkalemia,cardiac arrest,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:14895,kg4rd:1756,:39499670:8KDLmfVv6kKAHmPRczBT82,"somatic muscle, invertebrate",dmd,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:2505,:39499670:nGeKckQ5mPw5XbYiGuzj4b,becker muscular dystrophy,loss of ambulation,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:2153,:39499670:dpePYsZVG6gUFX6Tdqo6cJ,becker muscular dystrophy,hyperkalemia,1000.0,91.66666666666666
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:5162,:39499670:3WYW8ycEBVgYCoujRqhSHQ,becker muscular dystrophy,abnormal left ventricular function,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:6774,:39477543:WW66Qpm4Uj2GkHBg3dTrNc,duchenne muscular dystrophy,stat3,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:19043,kg4rd:1756,:39477543:6jb9Gj3qtA9rwAMAsK4aoW,establishment of viral latency,dmd,92.3076923076923,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:6532,:39475941:TEiM82yYWitviLbfvruHBw,duchenne muscular dystrophy,recurrent pneumonia,1000.0,87.17948717948718
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:3202,:39457092:8UnpYycvBmQdfdvAejZoSg,muscular dystrophy,skeletal muscle atrophy,89.47368421052632,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:1638,:39457092:RMvaJhcevA2txphG9oYmMR,muscular dystrophy,cardiomyopathy,89.47368421052632,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:2878,:39457092:neXdVCjK9CnepK5d8dmtMU,muscular dystrophy,respiratory failure,89.47368421052632,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20121,kg4rd:11024,:39457092:UzJ5KR9Kcy4Pn2WF7Y65tC,muscular dystrophy,abnormality of the gastrointestinal tract,89.47368421052632,88.0
anatomy_protein_absent,anatomy,gene/protein,kg4rd:14895,kg4rd:1756,:39415418:C2JqUKD4onYRG7sYkP4Z8D,"somatic muscle, invertebrate",dmd,1000.0,1000.0
anatomy_protein_absent,anatomy,gene/protein,kg4rd:2979,kg4rd:1756,:39415418:gNvjnwfZnjR7a2fo3VoDX4,purkinje cell layer of cerebellar cortex,dmd,87.27272727272728,1000.0
disease_protein,disease,gene/protein,kg4rd:1010934,kg4rd:79147,:39408683:SZtw7fZMbDSNdbRb7tSUY6,"limb-girdle muscular dystrophy, sgcd-related, dog",fkrp,90.32258064516128,90.19607843137256
disease_protein,disease,gene/protein,kg4rd:11486,kg4rd:79147,:39408683:e8pVB9Rm24VKxXnMtkrFbm,congenital muscular dystrophy 1b,fkrp,85.36585365853658,90.19607843137256
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:3479,:39390091:CRjpxpvYZiyBvMXveSCjpn,duchenne muscular dystrophy,igf1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7135,:39390091:4V5xYukBARmur7weWyaB9S,duchenne muscular dystrophy,tnni1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:4654,:39390091:DjJexaoWz8xWhuut66u2Aa,duchenne muscular dystrophy,myod1,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:3480,:39390091:28gdFAY7D74XSgmrjwQCsN,duchenne muscular dystrophy,igf1r,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2015,:39362116:8UePaQSwb4s6k6Svat3sPX,duchenne muscular dystrophy,dysphagia,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:7520,kg4rd:8204,:39323088:cEFP255HvtmG7Vwh8fGWaf,myoblast fusion,nrip1,1000.0,88.88888888888889
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:8204,:39323088:eBXNmvpy9E7g5zeoqevfoa,duchenne muscular dystrophy,nrip1,93.10344827586206,88.88888888888889
bioprocess_protein,biological_process,gene/protein,kg4rd:45026,kg4rd:8204,:39323088:96wK8FQoqbSZpDYbAPQsFL,cell-cell fusion,nrip1,1000.0,88.88888888888889
molfunc_protein,molecular_function,gene/protein,kg4rd:3779,kg4rd:8204,:39323088:Getwt4V9KJ9o7xyyKa7zAa,actin binding,nrip1,100.0,88.88888888888889
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:12532,:39317091:jScF39RqKVm6JuxwPX99Wk,duchenne muscular dystrophy,chronic pain,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:32198,:39317091:hw2nFKg7BUVZGaRTbFvkcW,duchenne muscular dystrophy,decreased prothrombin time,1000.0,92.3076923076923
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:7034,:39317091:iP6mXAKSeHwR574Kg94ZPa,duchenne muscular dystrophy,generalized hyperreflexia,1000.0,85.71428571428572
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2344,:39305903:DUu9JUTcsAZFDnpB7kAxGw,duchenne muscular dystrophy,progressive neurologic deterioration,1000.0,87.5
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:100295,:39298449:nLb4WbZSAvWsuMJdZtANZU,duchenne muscular dystrophy,muscle fiber atrophy,1000.0,94.11764705882352
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:969,:39298449:mRjhTR5V3bURRxi7kRXo9C,duchenne muscular dystrophy,edema,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:41166,:39288912:oKbqPLQTrFtvxzApskWgR5,duchenne muscular dystrophy,fractured vertebra,1000.0,91.89189189189189
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:9073,:39283673:2SzPUh8hDiDTmLif3JscYm,duchenne muscular dystrophy,progressive proximal muscle weakness,1000.0,89.23076923076923
disease_phenotype_positive,disease,effect/phenotype,kg4rd:20123,kg4rd:3546,:39283673:NFy6bGneYbiAMuXiJW8Hwy,metabolic myopathy,exercise intolerance,89.47368421052632,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:7037,kg4rd:2652,:39283673:h2gut4zepqcuCWugZNY3Ki,achondroplasia,skeletal dysplasia,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:7037,kg4rd:4322,:39283673:Eeajg5QaWiKK8kSS45rL57,achondroplasia,short stature,1000.0,1000.0
bioprocess_protein,biological_process,gene/protein,kg4rd:45117,kg4rd:857,:39201459:gTWrFiEJ7UTqmtYkFGLXDu,azole transmembrane transport,cav1,87.09677419354838,88.88888888888889
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:859,:39201459:bHM764nqphfnYx24vtuiMS,duchenne muscular dystrophy,cav3,1000.0,100.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:3661,kg4rd:857,:39201459:Lqtt5wY5bMToQ4RnuEypr3,limb muscle,cav1,85.71428571428572,88.88888888888889
anatomy_protein_present,anatomy,gene/protein,kg4rd:3661,kg4rd:4842,:39201459:U4dRN2bRXF9yHphLMXGFSE,limb muscle,nos1,85.71428571428572,1000.0
