relation,x_type,y_type,x_id,y_id
disease_phenotype_positive,disease,effect/phenotype,10679,2093
drug_protein,drug,gene/protein,15258,4656
disease_protein,disease,gene/protein,10679,9780
drug_protein,drug,gene/protein,1039,57154
disease_phenotype_positive,disease,effect/phenotype,10679,717
disease_phenotype_positive,disease,effect/phenotype,10311,25169
disease_phenotype_positive,disease,effect/phenotype,7037,2652
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_phenotype_positive,disease,effect/phenotype,10679,2540
cellcomp_protein,cellular_component,gene/protein,42383,1605
disease_phenotype_positive,disease,effect/phenotype,10679,1510
disease_disease,disease,disease,10679,5267
disease_protein,disease,gene/protein,10679,54465
disease_phenotype_positive,disease,effect/phenotype,10679,5200283
disease_protein,disease,gene/protein,10311,1634
disease_phenotype_positive,disease,effect/phenotype,10311,3701
drug_protein,drug,gene/protein,15114,1577
disease_phenotype_positive,disease,effect/phenotype,10679,1649
disease_phenotype_positive,disease,effect/phenotype,10679,3391
disease_phenotype_positive,disease,effect/phenotype,10311,2617
disease_phenotype_positive,disease,effect/phenotype,10679,3010
disease_protein,disease,gene/protein,10679,1756
indication,drug,disease,11921,16147
bioprocess_protein,biological_process,gene/protein,43403,7476
disease_phenotype_positive,disease,effect/phenotype,10679,100785
disease_phenotype_positive,disease,effect/phenotype,10311,1638
bioprocess_protein,biological_process,gene/protein,19933,57585
exposure_bioprocess,,biological_process,D004967,8152
disease_phenotype_positive,disease,effect/phenotype,10679,3687
disease_phenotype_positive,disease,effect/phenotype,10679,2791
disease_disease,disease,disease,10679,19056
disease_phenotype_positive,disease,effect/phenotype,19056,2878
disease_phenotype_positive,disease,effect/phenotype,10311,100295
bioprocess_protein,biological_process,gene/protein,43403,4205
drug_protein,drug,gene/protein,18186,1756
disease_phenotype_positive,disease,effect/phenotype,10679,3560
disease_protein,disease,gene/protein,10679,10013
disease_protein,disease,gene/protein,10679,7273
disease_protein,disease,gene/protein,16971,859
disease_protein,disease,gene/protein,1010934,79147
disease_phenotype_positive,disease,effect/phenotype,18881,3546
bioprocess_protein,biological_process,gene/protein,51493,84366
disease_phenotype_positive,disease,effect/phenotype,10679,3287
exposure_bioprocess,,biological_process,C575255,7005
off-label use,drug,disease,675,1010441
disease_phenotype_positive,disease,effect/phenotype,10679,100033
disease_disease,disease,disease,10679,16147
phenotype_protein,effect/phenotype,gene/protein,7009,9759
bioprocess_protein,biological_process,gene/protein,19043,1756
indication,drug,disease,737,8015
disease_protein,disease,gene/protein,10679,29108
drug_effect,drug,effect/phenotype,790,12664
disease_phenotype_positive,disease,effect/phenotype,10679,1638
drug_effect,drug,effect/phenotype,83,602
indication,drug,disease,16099,9290
disease_protein,disease,gene/protein,10311,5244
exposure_bioprocess,,biological_process,D000409,1837
disease_phenotype_positive,disease,effect/phenotype,10679,25280
disease_protein,disease,gene/protein,10679,23411
disease_protein,disease,gene/protein,20121,29954
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_disease,disease,disease,10679,5267
drug_protein,drug,gene/protein,255,1756
disease_protein,disease,gene/protein,20121,8557
disease_phenotype_positive,disease,effect/phenotype,10679,9826
anatomy_protein_present,anatomy,gene/protein,3661,4842
disease_phenotype_positive,disease,effect/phenotype,10679,2808
disease_phenotype_positive,disease,effect/phenotype,10679,100033
disease_phenotype_positive,disease,effect/phenotype,10679,2093
drug_protein,drug,gene/protein,2709,23411
bioprocess_protein,biological_process,gene/protein,31099,216
drug_effect,drug,effect/phenotype,202,2047
disease_protein,disease,gene/protein,10311,598
disease_phenotype_positive,disease,effect/phenotype,10311,3119
cellcomp_protein,cellular_component,gene/protein,31012,1605
disease_protein,disease,gene/protein,10311,1756
disease_protein,disease,gene/protein,10679,7037
disease_disease,disease,disease,10679,757
bioprocess_protein,biological_process,gene/protein,10468,1756
disease_protein,disease,gene/protein,10542,1756
disease_phenotype_positive,disease,effect/phenotype,10679,11675
indication,drug,disease,12618,10679
bioprocess_protein,biological_process,gene/protein,6936,4644
disease_phenotype_positive,disease,effect/phenotype,10311,1635
disease_protein,disease,gene/protein,10679,2335
disease_phenotype_positive,disease,effect/phenotype,15128,2329
anatomy_protein_present,anatomy,gene/protein,2349,1756
drug_protein,drug,gene/protein,675,2099
disease_protein,disease,gene/protein,10679,716
indication,drug,disease,9083,5252
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_protein,disease,gene/protein,10311,1756
disease_phenotype_positive,disease,effect/phenotype,10679,4798
disease_phenotype_positive,disease,effect/phenotype,10679,3713
disease_protein,disease,gene/protein,10311,1824
phenotype_protein,effect/phenotype,gene/protein,2505,1756
disease_phenotype_positive,disease,effect/phenotype,16147,11675
disease_disease,disease,disease,10679,6816
disease_phenotype_positive,disease,effect/phenotype,10311,1410
phenotype_protein,effect/phenotype,gene/protein,2360,1756
disease_protein,disease,gene/protein,10679,1674
disease_protein,disease,gene/protein,10679,6194
bioprocess_protein,biological_process,gene/protein,97264,823
disease_phenotype_positive,disease,effect/phenotype,10679,2515
disease_disease,disease,disease,10679,15667
disease_protein,disease,gene/protein,16147,5816
disease_phenotype_positive,disease,effect/phenotype,10679,3677
disease_phenotype_positive,disease,effect/phenotype,10311,11675
disease_phenotype_positive,disease,effect/phenotype,10679,100543
disease_phenotype_positive,disease,effect/phenotype,10679,733
bioprocess_protein,biological_process,gene/protein,6974,6374
indication,drug,disease,16802,10679
disease_protein,disease,gene/protein,10679,358
drug_protein,drug,gene/protein,9081,6647
disease_phenotype_positive,disease,effect/phenotype,10679,4349
disease_phenotype_positive,disease,effect/phenotype,20121,9067
disease_protein,disease,gene/protein,10679,27306
disease_phenotype_positive,disease,effect/phenotype,19079,2091
disease_phenotype_positive,disease,effect/phenotype,10679,750
disease_phenotype_positive,disease,effect/phenotype,10679,2505
drug_effect,drug,effect/phenotype,9081,2093
indication,drug,disease,14984,10679
disease_phenotype_positive,disease,effect/phenotype,10311,1627
disease_phenotype_positive,disease,effect/phenotype,10311,772
disease_phenotype_positive,disease,effect/phenotype,10679,2505
disease_phenotype_positive,disease,effect/phenotype,10679,2344
disease_phenotype_positive,disease,effect/phenotype,10679,3724
drug_protein,drug,gene/protein,8908,4779
off-label use,drug,disease,11748,10679
disease_protein,disease,gene/protein,10679,7291
bioprocess_protein,biological_process,gene/protein,16567,58529
disease_phenotype_positive,disease,effect/phenotype,10679,3693
indication,drug,disease,1234,19810
drug_effect,drug,effect/phenotype,584,12664
disease_phenotype_positive,disease,effect/phenotype,10679,2194
drug_effect,drug,effect/phenotype,1118,1928
disease_phenotype_positive,disease,effect/phenotype,10679,200008
disease_protein,disease,gene/protein,10679,1756
disease_phenotype_positive,disease,effect/phenotype,10679,100543
drug_effect,drug,effect/phenotype,17048,25464
disease_protein,disease,gene/protein,10679,1520
disease_phenotype_positive,disease,effect/phenotype,10311,7009
indication,drug,disease,1238,6664
disease_phenotype_positive,disease,effect/phenotype,6497,34392
bioprocess_protein,biological_process,gene/protein,51493,6010
disease_phenotype_positive,disease,effect/phenotype,16147,717
pathway_protein,pathway,gene/protein,R-HSA-75893,4086
disease_protein,disease,gene/protein,16145,361
disease_protein,disease,gene/protein,8056,1756
indication,drug,disease,1039,10679
disease_protein,disease,gene/protein,16830,2010
disease_phenotype_positive,disease,effect/phenotype,10679,2540
drug_drug,drug,drug,790,612
disease_phenotype_positive,disease,effect/phenotype,10679,3676
bioprocess_protein,biological_process,gene/protein,32042,7026
phenotype_protein,effect/phenotype,gene/protein,1699,1756
disease_protein,disease,gene/protein,10679,1152
disease_phenotype_positive,disease,effect/phenotype,10679,33677
disease_phenotype_positive,disease,effect/phenotype,10311,3551
disease_protein,disease,gene/protein,10679,10059
disease_protein,disease,gene/protein,10679,1795
bioprocess_protein,biological_process,gene/protein,14834,2335
indication,drug,disease,331,5148
disease_phenotype_positive,disease,effect/phenotype,10679,708
disease_phenotype_positive,disease,effect/phenotype,10679,34392
disease_protein,disease,gene/protein,9061,140871
disease_disease,disease,disease,10679,5021
disease_phenotype_positive,disease,effect/phenotype,16971,4950
disease_phenotype_positive,disease,effect/phenotype,10679,3693
disease_phenotype_positive,disease,effect/phenotype,10679,3326
drug_effect,drug,effect/phenotype,11921,100614
disease_disease,disease,disease,8056,19056
indication,drug,disease,860,16147
disease_phenotype_positive,disease,effect/phenotype,10679,25406
drug_protein,drug,gene/protein,15258,8678
indication,drug,disease,700,10679
disease_protein,disease,gene/protein,10679,7476
bioprocess_protein,biological_process,gene/protein,45117,857
bioprocess_protein,biological_process,gene/protein,51493,10413
disease_phenotype_positive,disease,effect/phenotype,8394,4322
disease_phenotype_positive,disease,effect/phenotype,10679,7269
disease_phenotype_positive,disease,effect/phenotype,10679,1252
indication,drug,disease,4652,10679
disease_protein,disease,gene/protein,35432,825
disease_protein,disease,gene/protein,10679,7058
exposure_protein,,gene/protein,D005938,6387
disease_phenotype_positive,disease,effect/phenotype,10679,2344
disease_protein,disease,gene/protein,10679,1407
disease_protein,disease,gene/protein,10679,6123
drug_effect,drug,effect/phenotype,860,5162
indication,drug,disease,4652,10311
indication,drug,disease,13688,10679
anatomy_protein_present,anatomy,gene/protein,1017,1756
indication,drug,disease,15593,10679
phenotype_phenotype,effect/phenotype,effect/phenotype,2153,1695
indication,drug,disease,15005,10679
disease_protein,disease,gene/protein,10311,5341
disease_phenotype_positive,disease,effect/phenotype,10679,11947
disease_phenotype_positive,disease,effect/phenotype,10679,30637
disease_phenotype_positive,disease,effect/phenotype,10679,25406
disease_phenotype_positive,disease,effect/phenotype,20121,25406
disease_phenotype_positive,disease,effect/phenotype,10679,1288
disease_phenotype_positive,disease,effect/phenotype,10679,1644
indication,drug,disease,15593,10679
disease_phenotype_positive,disease,effect/phenotype,10679,2098
disease_phenotype_positive,disease,effect/phenotype,10679,7034
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_phenotype_positive,disease,effect/phenotype,10679,9067
disease_phenotype_positive,disease,effect/phenotype,10679,2194
disease_phenotype_positive,disease,effect/phenotype,10679,1942
disease_phenotype_positive,disease,effect/phenotype,10679,33755
indication,drug,disease,15305,19079
drug_effect,drug,effect/phenotype,18669,12819
disease_phenotype_positive,disease,effect/phenotype,10679,100033
disease_protein,disease,gene/protein,20121,55624
disease_phenotype_positive,disease,effect/phenotype,10679,10807
disease_protein,disease,gene/protein,10679,51727
disease_phenotype_positive,disease,effect/phenotype,10679,1635
disease_phenotype_positive,disease,effect/phenotype,8030,100785
exposure_protein,,gene/protein,C078040,6885
exposure_protein,,gene/protein,C009924,1756
pathway_protein,pathway,gene/protein,R-HSA-198745,2335
disease_protein,disease,gene/protein,20121,4000
disease_phenotype_positive,disease,effect/phenotype,10679,1644
bioprocess_protein,biological_process,gene/protein,51493,7471
disease_phenotype_positive,disease,effect/phenotype,10679,2194
disease_protein,disease,gene/protein,10679,8878
anatomy_protein_present,anatomy,gene/protein,15230,7402
disease_phenotype_positive,disease,effect/phenotype,10679,34392
drug_protein,drug,gene/protein,16802,1756
indication,drug,disease,12861,5252
disease_protein,disease,gene/protein,10679,3676
bioprocess_protein,biological_process,gene/protein,65007,5144
disease_phenotype_positive,disease,effect/phenotype,10679,9067
indication,drug,disease,5016,4994
disease_disease,disease,disease,10311,19056
bioprocess_protein,biological_process,gene/protein,1503,632
drug_effect,drug,effect/phenotype,635,100614
disease_protein,disease,gene/protein,10679,4779
disease_phenotype_positive,disease,effect/phenotype,10679,12378
disease_protein,disease,gene/protein,20121,1756
indication,drug,disease,19171,10679
disease_protein,disease,gene/protein,5212,5324
disease_phenotype_positive,disease,effect/phenotype,10679,2664
disease_protein,disease,gene/protein,20121,83667
drug_protein,drug,gene/protein,15083,2660
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_phenotype_positive,disease,effect/phenotype,8608,3467
disease_phenotype_positive,disease,effect/phenotype,10679,12595
disease_phenotype_positive,disease,effect/phenotype,10679,3677
bioprocess_protein,biological_process,gene/protein,31099,24145
phenotype_protein,effect/phenotype,gene/protein,3202,1756
indication,drug,disease,15114,10679
anatomy_protein_absent,anatomy,gene/protein,2979,1756
disease_phenotype_positive,disease,effect/phenotype,10311,1644
disease_phenotype_positive,disease,effect/phenotype,10679,5216
disease_phenotype_positive,disease,effect/phenotype,10679,3202
indication,drug,disease,16862,20121
drug_protein,drug,gene/protein,11921,4306
disease_phenotype_positive,disease,effect/phenotype,10679,3109
disease_phenotype_positive,disease,effect/phenotype,10679,12664
indication,drug,disease,18884,10679
disease_phenotype_positive,disease,effect/phenotype,10679,12828
disease_phenotype_positive,disease,effect/phenotype,10679,12378
indication,drug,disease,15005,10679
disease_phenotype_positive,disease,effect/phenotype,10679,2659
bioprocess_protein,biological_process,gene/protein,42246,3146
